Билеты+ПДД 2016 Экзамен ГИБДД	https://play.google.com/store/apps/details?id=jabi.pdd2	29 июля 2016 г.	1000000	5000000	 27M  	 7.6  	     4.1 или более поздняя   	3+		4,9	70 962	342	191	676	6 452	63 301
Экзамен ПДД 2016- Билеты ГИБДД	https://play.google.com/store/apps/details?id=org.reactivephone.pdd.lite	13 июля 2016 г.	1000000	5000000	 22M  	 2.7.2  	     2.3 или более поздняя   	3+	426069, Russia, Izhevsk, 6aya Podlesnaya, 33	4,6	32 138	1 070	491	1 046	3 539	25 992
Штрафы ПДД 2016 - штрафы ГИБДД	https://play.google.com/store/apps/details?id=org.reactivephone	8 августа 2016 г.	5000000	10000000	 19M  	 5.7  	     2.3 или более поздняя   	3+	426069, Russia, Izhevsk, 6aya Podlesnaya, 33	4,5	59 744	2 644	1 356	2 742	9 218	43 782
Справочник ПДД	https://play.google.com/store/apps/details?id=ru.pdd	26 сентября 2013 г.	500000	1000000	 9,3M  	 1.2.4  	     1.6 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,6	6 535	267	137	284	814	5 033
Билеты ПДД 2016	https://play.google.com/store/apps/details?id=com.grydmitrij.ticketpdddemo	20 июня 2016 г.	1000000	5000000	 22M  	 1.3.4.4  	     2.3 или более поздняя   	3+	308033, Russia, Belgorod	4,7	74 561	1 622	986	1 876	8 211	61 866
Билеты ПДД 2016	https://play.google.com/store/apps/details?id=pdd.app.y2016.free	18 июня 2016 г.	500000	1000000	 12M  	 5.02  	     2.3.3 или более поздняя   	3+	Россия, Пенза, с. Богословка, ул. Спортивная, д 8	4,8	9 471	137	61	127	582	8 564
Тренажер: Знаки ПДД	https://play.google.com/store/apps/details?id=world.easysolution.pddsigns	30 июня 2016 г.	10000	50000	 7,2M  	 1.2  	     2.3.3 или более поздняя   	3+	Russia, Novosibirsk, Rossiiskaja st. 10, 302	4,8	215	5	1	3	15	191
Билеты ПДД 2016+	https://play.google.com/store/apps/details?id=bilety.pdd.free	18 июня 2016 г.	100000	500000	 18M  	 5.02  	     2.3.3 или более поздняя   	3+	Россия, Пенза, с. Богословка, ул. Спортивная, д 8	4,7	2 657	64	20	52	318	2 203
Тренажёр перекрёстков ПДД	https://play.google.com/store/apps/details?id=air.cross	24 июля 2016 г.	10000	50000	 15M  	 1.0.9  	     4.0 или более поздняя   	3+		4,1	156	16	6	12	27	95
ПДД 2016-2017	https://play.google.com/store/apps/details?id=com.debia.pdd2	4 июня 2016 г.	50000	100000	 15M  	 1.07  	     2.2 или более поздняя   	3+	Russian Federation, Moscow region, Purshevo, 15	4,6	1 110	45	14	37	99	915
Билеты ПДД 2016 экзамен	https://play.google.com/store/apps/details?id=com.femtoice.pddru2016	24 июля 2016 г.	10000	50000	 14M  	 1.10  	     3.2 или более поздняя   	3+	Зеленая, д.9 Заречный, Пензенская область 442963 Russia	4,6	99	6	1	2	8	82
Билеты ПДД 2016 РФ	https://play.google.com/store/apps/details?id=com.shurikcomg.examgibdd2015	5 июля 2016 г.	50000	100000	 27M  	 2.6.4  	     2.3.3 или более поздняя   	3+	453129 Sterlitamak, Russia Sazonova, 22	4,8	1 256	17	13	22	111	1 093
ПДД Россия  2016	https://play.google.com/store/apps/details?id=com.ndflsoft.pdd_rus_free	13 апреля 2016 г.	5000	10000	 4,0M  	 1.7  	     4.0.3 или более поздняя   	3+	Needful things software  а/я 256844 Кременчуг Полтавская 39601 UA	4,3	50	3	1	4	10	32
Билеты ПДД 2016	https://play.google.com/store/apps/details?id=com.kabunov.pdd	12 апреля 2016 г.	500000	1000000	 13M  	 2.2.1  	     2.3 или более поздняя   	3+		4,7	8 376	228	141	239	1 079	6 689
Тренажер ПДД: Перекрестки	https://play.google.com/store/apps/details?id=world.easysolution.pddcrossing	6 июля 2016 г.	10000	50000	 6,4M  	 1.6  	     2.3 или более поздняя   	3+	Russia, Novosibirsk, Rossiiskaja st. 10, 302	4,6	732	11	8	40	135	538
Правила Дорожного Движения РТ	https://play.google.com/store/apps/details?id=com.voskhod.tj.dp	7 апреля 2014 г.	100000	500000	 12M  	 1.0  	     2.2 или более поздняя   	Без классификацииВнимание! Приложению пока не присвоено возрастное ограничение. В нем могут содержаться материалы только для взрослых.		4,3	1 042	81	49	63	133	716
Дорожные знаки	https://play.google.com/store/apps/details?id=com.iskander.roadsigns	7 февраля 2016 г.	500000	1000000	 15M  	 1.7  	     2.3 или более поздняя   	3+	359431 Республика Калмыкия, Малодербетовский район, с. Тундутово, ул. Черткова, 9	4,4	6 844	366	213	416	1 083	4 766
ПДД Штрафы 2016	https://play.google.com/store/apps/details?id=ru.pascal4eg.pddfree	5 июня 2016 г.	100000	500000	 6,2M  	 2.6.6  	     2.3 или более поздняя   	3+	г. Рыбинск, ул. Моисеенко 16	4,6	5 525	193	116	207	766	4 243
Билеты ПДД 2016 - AB и CD	https://play.google.com/store/apps/details?id=com.hexteam.pdd	5 августа 2016 г.	10000	50000	 38M  	 2.2  	     4.0 или более поздняя   	3+	Moscow, Kutuzova str	4,5	417	24	12	15	39	327
Экзамен ПДД РФ 2016	https://play.google.com/store/apps/details?id=com.aategames.pddexam	12 июня 2016 г.	5000	10000	 23M  	 1.1.0  	     4.4 или более поздняя   	3+	Matinniitynkuja 8 A 15 Espoo 02230 Finland	4,7	44	1	0	1	6	36
ПДД Консультант	https://play.google.com/store/apps/details?id=net.syberia.highwaycode	6 августа 2016 г.	1000	5000	 14M  	 1.1.1.1  	     2.2 или более поздняя   	3+	350000, г. Краснодар, ул. Володарского, д. 10Г	4,9	10	0	0	0	1	9
Экзамен ПДД 2016+ Билеты ГИБДД	https://play.google.com/store/apps/details?id=com.zubaka.pdd.rus	21 марта 2016 г.	100000	500000	 32M  	 2.4  	     4.1 или более поздняя   	3+	г. Пермь, ул. Советской Армии 37-29	4,7	1 321	33	13	23	131	1 121
ПДД 2016 Россия	https://play.google.com/store/apps/details?id=com.vokrab.pddrussia	16 декабря 2015 г.	100000	500000	 8,1M  	 1.7  	     4.0.3 или более поздняя   	3+	Харьков, улица Чернышевского 13	4,2	1 695	163	71	96	242	1 123
